symbol,name,consensus1_T,forecast1_T,forecast10_T,delta_f10_c1_pct,delta_f10_prev_act_pct
CPRX,Catalyst Pharmaceuticals Inc.,20.35,20.36,23.80,17.0%,17.3%
CRM,Salesforce Inc.,256.80,257.36,278.59,8.5%,8.6%
CRNT,Ceragon Networks Ltd.,1.99,1.99,2.68,34.4%,35.1%
CRNX,CRINETICS PHARMACEUTICALS INC.,34.79,34.77,43.52,25.1%,25.6%
CRTO,Criteo S.A.,23.39,23.41,27.05,15.7%,16.0%
CSTM,Constellium SE,14.61,14.64,15.56,6.6%,6.7%
CTRA,Coterra Energy Inc.,24.02,24.07,26.34,9.7%,9.9%
CVE,Cenovus Energy Inc.,15.95,16.00,15.77,-1.1%,-1.1%
CVNA,Carvana Co.,369.06,370.20,380.26,3.0%,3.1%
CVS,CVS Health Corporation,73.81,74.04,75.86,2.8%,2.8%
DAR,DARLING INGREDIENTS INC.,32.10,32.12,35.59,10.9%,11.1%
DAVA,Endava plc,10.21,10.18,10.21,-0.1%,0.3%
DBRG,DIGITALBRIDGE GROUP INC.,11.24,11.26,12.55,11.6%,11.8%
DDI,DoubleDown Interactive Co. Ltd.,9.58,9.58,11.75,22.6%,23.1%
DDL,Dingdong (Cayman) Limited,2.17,2.18,2.29,5.7%,5.8%
DDOG,Datadog Inc.,136.18,136.08,136.15,-0.0%,0.1%
DHR,Danaher Corporation,200.39,200.72,211.58,5.6%,5.7%
DOX,Amdocs Limited,85.40,85.33,85.39,-0.0%,0.1%
DUOL,Duolingo Inc.,271.96,271.18,271.77,-0.1%,0.2%
DVN,Devon Energy Corporation,34.80,34.88,37.45,7.6%,7.7%
DXCM,DexCom Inc.,80.60,80.80,85.92,6.6%,6.7%
EEFT,Euronext Worldwide,91.31,91.16,91.27,-0.0%,0.1%
EFX,Enerflex Ltd.,249.79,250.31,257.41,3.0%,3.1%
ENOV,enovix corporation,32.21,32.24,37.17,15.4%,15.7%
ERIE,Erie Indemnity Company,334.19,335.93,279.83,-16.3%,-16.5%
EVH,Evolent Health Inc.,9.63,9.63,11.08,15.0%,15.3%
FANG,DIAMONDBLACK ENERGY INC.,138.88,138.71,138.84,-0.0%,0.1%
FINV,FinVolution Group,7.92,7.91,7.92,-0.0%,0.1%
FLOC,Flowco,15.63,15.62,20.14,28.8%,29.4%
FSLR,First Solar Inc.,205.20,205.67,208.91,1.8%,1.8%
GDEV,GDEV Inc.,14.75,14.57,28.45,92.9%,95.8%
