date,symbol,r4a_reco,market_bin,above_ma200,sent7_gt_0_2,prev_rule_ok,f10_T,avg_a_1_10,delta,hit
2026-01-06,TSLA,NO,0-2,>0,NO,NO,441.10425612291874,437.4339999999999,-3.670256122918829,0
2026-01-06,ERIE,NO,0-2,<0,NO,NO,237.3402182465261,282.84000000000003,45.49978175347394,1
2026-01-07,CHA,NO,0-2,<0,NO,NO,13.480357851462674,12.349,-1.131357851462674,0
2026-01-07,KELYA,NO,0-2,<0,NO,NO,9.159318740972369,9.889000000000001,0.7296812590276325,1
2026-01-07,DHR,YES,0-2,>0,NO,NO,243.48954548340504,237.82200000000003,-5.667545483405007,0
2026-01-07,AAPL,NO,0-2,>0,NO,NO,268.84233940731104,255.61100000000002,-13.231339407311026,0
2026-01-07,CVNA,NO,0-2,>0,NO,NO,451.08657755432455,457.71099999999996,6.624422445675407,1
2026-01-07,SNPS,YES,0-2,>0,NO,NO,520.9941380295551,515.7120000000001,-5.282138029554972,0
2026-01-07,AHL,NO,0-2,<0,NO,NO,38.09177798765099,37.273,-0.8187779876509893,0
2026-01-07,UIS,NO,0-2,<0,NO,NO,2.8965628323359947,3.179,0.2824371676640052,1
2026-01-07,HAL,YES,0-2,>0,NO,NO,31.54707294328661,32.684000000000005,1.1369270567133931,1
2026-01-07,GOOGL,YES,0-2,>0,NO,NO,321.38296007206236,330.13800000000003,8.755039927937673,1
2026-01-07,NX,YES,0-2,<0,NO,NO,16.581341089823972,18.130000000000003,1.5486589101760302,1
2026-01-07,GE,YES,0-2,>0,NO,NO,334.65336359740326,317.721,-16.932363597403253,0
2026-01-07,WMT,NO,0-2,>0,NO,NO,116.81455353883273,118.07699999999997,1.2624464611672437,1
2026-01-07,ZBH,YES,0-2,<0,NO,NO,96.742159013349,89.291,-7.451159013348999,0
2026-01-07,GPCR,NO,0-2,>0,NO,NO,64.52493873113126,81.75399999999999,17.229061268868733,1
2026-01-07,ENOV,YES,0-2,<0,NO,NO,28.457717258456217,25.294000000000004,-3.163717258456213,0
2026-01-07,ASML,YES,0-2,>0,NO,NO,1264.1767602101554,1305.464,41.287239789844534,1
2026-01-07,ASIX,NO,0-2,<0,NO,NO,18.13226250376978,17.681,-0.4512625037697795,0
2026-01-07,SHOP,NO,0-2,>0,NO,NO,171.3287219250488,156.012,-15.316721925048796,0
2026-01-07,IMVT,NO,0-2,>0,NO,NO,26.342014015650545,26.228999999999996,-0.11301401565054903,0
2026-01-07,TEAD,NO,0-2,<0,NO,NO,0.6665518960016508,0.6682400000000001,0.0016881039983492885,1
2026-01-07,CBZ,YES,0-2,<0,NO,NO,54.488937080363804,50.457,-4.031937080363804,0
2026-01-07,ITGR,YES,0-2,<0,NO,NO,82.05118807637973,84.686,2.6348119236202763,1
2026-01-07,MATV,NO,0-2,>0,NO,NO,12.404964921191729,12.907,0.5020350788082713,1
2026-01-07,BRZE,NO,0-2,>0,NO,NO,31.85962072030603,26.954,-4.905620720306029,0
2026-01-07,UTZ,NO,0-2,<0,NO,NO,9.986008793511214,10.252,0.2659912064887866,1
2026-01-07,BWMX,YES,0-2,>0,NO,NO,16.437601942826305,17.092000000000002,0.6543980571736974,1
2026-01-07,STZ,NO,0-2,<0,NO,NO,144.48065506896717,154.92186717596454,10.44121210699737,1
2026-01-07,FLOC,YES,0-2,>0,NO,NO,19.392816542594563,19.993,0.6001834574054357,1
2026-01-07,TWLO,NO,0-2,>0,NO,NO,141.04621676640053,125.89500000000002,-15.151216766400509,0
2026-01-07,BIIB,NO,0-2,>0,NO,NO,184.77947159568896,175.165,-9.614471595688968,0
2026-01-07,NESR,YES,0-2,>0,NO,NO,16.76024134537547,18.4065,1.646258654624532,1
2026-01-07,AHCO,NO,0-2,>0,NO,NO,10.181224583736768,10.552999999999999,0.3717754162632314,1
2026-01-07,LW,NO,0-2,<0,NO,NO,41.92244440564435,42.845,0.92255559435565,1
2026-01-07,XPO,NO,0-2,>0,NO,NO,151.96239865240236,148.424,-3.53839865240235,0
2026-01-07,AENT,NO,0-2,>0,NO,NO,7.935765067221155,7.653999999999999,-0.2817650672211558,0
2026-01-07,IMXI,NO,0-2,>0,NO,NO,15.58602212663291,15.493,-0.09302212663290987,0
2026-01-07,LKQ,YES,0-2,<0,NO,NO,31.816618704465007,33.42400000000001,1.6073812955349993,1
2026-01-07,KINS,NO,0-2,>0,NO,NO,16.740609910953797,16.261,-0.4796099109537977,0
2026-01-07,GDYN,YES,0-2,<0,NO,NO,9.970059443500896,9.254000000000001,-0.7160594435008942,0
2026-01-07,CHE,YES,0-2,<0,NO,NO,444.59942564403735,449.86799999999994,5.268574355962585,1
2026-01-07,HBM,YES,0-2,>0,NO,NO,21.59778741607276,22.892000000000003,1.2942125839272443,1
2026-01-07,MDB,NO,0-2,>0,NO,NO,439.2211164505326,399.77699999999993,-39.44411645053265,0
2026-01-07,DOX,NO,0-2,<0,NO,NO,82.55127331312201,83.468,0.9167266868779933,1
2026-01-07,SPB,NO,0-2,>0,NO,NO,62.95686004984048,63.681000000000004,0.7241399501595254,1
2026-01-07,ALAB,NO,0-2,>0,NO,NO,162.17991079506675,173.7165,11.53658920493325,1
2026-01-07,CLS,NO,0-2,>0,NO,NO,307.1974936905764,308.278,1.0805063094236402,1
2026-01-07,CSTM,YES,0-2,>0,NO,NO,20.039873970254437,22.066,2.026126029745562,1
2026-01-07,ZTS,YES,0-2,<0,NO,NO,129.69865763578932,124.868287630282,-4.830370005507319,0
2026-01-07,ARCO,YES,0-2,>0,NO,NO,7.804293185822447,7.714,-0.09029318582244628,0
2026-01-07,LFST,NO,0-2,>0,NO,NO,7.329385327217028,7.319,-0.010385327217028006,0
2026-01-07,UTL,NO,0-2,<0,NO,NO,48.90931755051507,49.882999999999996,0.9736824494849259,1
2026-01-07,HTO,YES,0-2,>0,NO,NO,50.96747710353804,52.55100000000001,1.5835228964619716,1
2026-01-07,MU,YES,0-2,>0,NO,NO,345.23702381708233,354.053,8.815976182917666,1
2026-01-07,SLGN,NO,0-2,<0,NO,NO,42.13717274328979,42.678,0.5408272567102088,1
2026-01-07,COP,NO,0-2,>0,NO,NO,97.57655330867765,97.52000000000001,-0.05655330867763553,0
2026-01-07,CDE,YES,0-2,>0,NO,NO,19.720488643037413,21.87,2.149511356962588,1
2026-01-07,AMTM,YES,0-2,>0,NO,NO,31.672634640719988,34.339999999999996,2.6673653592800086,1
2026-01-07,MD,NO,0-2,>0,NO,NO,22.389086443072333,22.197,-0.19208644307233413,0
2026-01-07,PRU,NO,0-2,>0,NO,NO,118.11067391787432,114.356,-3.754673917874328,0
2026-01-07,CHMI,NO,0-2,>0,NO,NO,2.5793556054665796,2.6559999999999997,0.07664439453342009,1
2026-01-07,CWAN,YES,0-2,>0,NO,NO,24.15680774908335,24.197,0.04019225091665035,1
2026-01-07,TBLA,NO,0-2,>0,NO,NO,4.315337058141934,4.2,-0.11533705814193418,0
2026-01-07,KRO,YES,0-2,<0,NO,NO,4.957177505118967,5.388,0.4308224948810331,1
2026-01-07,CCJ,YES,0-2,>0,NO,NO,102.3691344581832,113.21,10.840865541816797,1
2026-01-07,SBUX,NO,0-2,>0,NO,NO,89.63975032142346,92.092,2.4522496785765355,1
2026-01-07,CG,YES,0-2,>0,NO,NO,65.76717512420439,64.527,-1.2401751242043844,0
2026-01-07,IBM,NO,0-2,>0,NO,NO,302.86895331026494,301.84900000000005,-1.0199533102648957,0
