symbol,f10_over_c1_x,f10_T,f10_date,a1_prev,a1_prev_date,f10_over_prev_a1_x,a1_T,a1_over_prev_pct
EEFT,0.9995780926518444,89.56462635513722,20250930,88.96,20250929,1.0067966092079277,,
ITGR,0.9996172362550356,101.61798185743083,20250930,101.08,20250929,1.0053223373311322,103.385,2.2803719825880586
IMVT,0.9985486452004416,16.301843700893635,20250930,16.23,20250929,1.0044265989460033,16.12,-0.6777572396795994
DOX,0.9997295205983469,81.69702016634656,20250930,81.46,20250929,1.0029096509495037,,
CVS,0.9999122684033904,75.79016297360359,20250930,75.6,20250929,1.0025153832487248,75.57,-0.03968253968253954
UIS,0.9993142180467052,3.9882988762083142,20250930,3.98,20250929,1.0020851447759584,3.895,-2.1356783919597944
DBRG,0.9996070664250128,11.814081125696418,20250930,11.79,20250929,1.0020425042999508,11.71,-0.6785411365563876
MU,1.0435242133800096,164.23033959778417,20250930,163.9,20250929,1.0020154948003914,163.9,0.0
ENOV,0.9993532944384784,30.04896096887351,20250930,29.99,20250929,1.00196602096944,30.345,1.1837279093031006
LNTH,0.9992985611986654,50.7179453103919,20250930,50.62,20250929,1.0019349132831272,51.29,1.3235875148162712
TX,1.0015044349741808,34.532710829986826,20250930,34.48,20250929,1.0015287363685277,34.82,0.9860788863109038
SLP,0.9993091460425764,14.921278074951193,20250930,14.9,20250929,1.0014280587215565,14.9,0.0
PFGC,0.9998574120535872,104.34511952191237,20250930,104.21,20250929,1.0012966080214216,,
FI,0.999583611110712,129.72385037539087,20250930,129.56,20250929,1.0012646679174966,128.92,-0.4939796233405458
ALK,0.9996029192214706,50.9413577562261,20250930,50.88,20250929,1.0012059307434371,49.78,-2.161949685534592
ZTS,0.9996796156273264,143.63958290344598,20250930,143.5,20250929,1.0009727031599025,146.29,1.9442508710801443
UTL,0.9997471901151064,47.006041689814445,20250930,46.97,20250929,1.0007673342519576,47.4,0.9154779646582956
CPRX,0.9992546069342176,19.56425068649704,20250930,19.55,20250929,1.0007289353706923,19.7,0.7672634271099765
FANG,0.9997835114583464,148.34739944604055,20250930,148.25,20250929,1.000656994577002,143.1,-3.4738617200674615
UAL,0.999853353266006,97.95356161013316,20250930,97.91,20250929,1.0004449148210923,96.5,-1.4400980492288773
ZBH,0.9998746424662058,98.27735992285837,20250930,98.24,20250929,1.0003802923743723,98.45,0.21376221498372594
PG,0.9998813576527128,152.55488643037413,20250930,152.5,20250929,1.0003599110188468,,
TXN,0.9998891148479128,184.61207679243188,20250930,184.55,20250929,1.0003363684228224,183.73,-0.44432403142781185
PRU,0.9998931090246116,104.4438546213552,20250930,104.41,20250929,1.000324246924195,,
EFX,0.9998961721420542,254.35008265741817,20250930,254.27,20250929,1.0003149512621157,256.58,0.9084831085066858
MCD,0.999910171820059,305.3231685211346,20250930,305.24,20250929,1.0002724692737996,302.99,-0.7371248853361267
GOOGL,0.9902595501061744,244.10024158346693,20250930,244.05,20250929,1.0002058659433186,243.1,-0.3892644949805457
COUR,0.999957010817052,11.721527951937272,20250930,11.72,20250929,1.0001303713257057,11.71,-0.08532423208190698
MD,0.9999830280158092,16.300838875573405,20250930,16.3,20250929,1.0000514647591046,16.22,-0.4907975460122782
KRO,0.9996091786965294,5.736800884112951,20250930,5.74,20250929,0.999442662737448,5.75,0.17421602787455193
BMRN,0.9992311931882424,53.97592121553626,20250930,54.02,20250929,0.9991840284253288,54.16,0.25916327286188423
UNH,0.9989231101242252,343.7034940715227,20250930,344.08,20250929,0.9989057604961716,345.18,0.31969309462915874
TMUS,0.9998551618628856,237.574350129363,20250930,237.96,20250929,0.9983793500141328,239.38,0.5967389477222973
NX,0.998987431527484,13.842542975508326,20250930,13.88,20250929,0.9973013671115508,,
DDOG,1.039424916731357,144.64479778098757,20250930,145.26,20250929,0.9957648201912956,,
ALAB,1.000075760247959,197.73458087966856,20250930,198.8,20250929,0.9946407488916932,198.8,0.0
DHR,0.9996865568334656,185.0158942318376,20250930,186.03,20250929,0.9945486976930472,,
DUOL,0.999609790835346,326.7767815590229,20250930,328.78,20250929,0.9939071158799894,321.84,-2.1108339923353037
AVNW,0.999485986141916,22.57520281424104,20250930,22.72,20250929,0.9936268844296232,22.93,0.9242957746478986
BILL,0.999909577560808,54.19486008158601,20250930,54.55,20250929,0.993489644025408,52.97,-2.896425297891836
BIIB,0.9997603507949404,137.46991607276075,20250930,138.52,20250929,0.992419261281842,140.08,1.126191163730872
CVE,0.9646714673699492,17.13244996111173,20250930,17.27,20250929,0.9920353191147496,16.99,-1.6213086276780642
LW,0.9998462112475396,55.245765464040254,20250930,55.69,20250929,0.9920230824930912,55.67,-0.03591309032141554
AAPL,0.9881331161863862,252.38018150505548,20250930,254.43,20250929,0.9919434874230848,254.63,0.07860708249813886
CLS,1.0000287796009673,243.7687285122458,20250930,246.01,20250929,0.9908895106387782,245.95,-0.02438925246941448
AXON,0.9997492194086732,709.3795467929081,20250930,716.02,20250929,0.9907258830659872,717.64,0.22625066338928246
DIS,0.999828139170852,113.52917068776686,20250930,114.79,20250929,0.9890162094935696,114.48,-0.27005836745361833
SMCI,0.999913772499482,45.83198393676291,20250930,46.36,20250929,0.9886105249517452,46.36,0.0
DAVA,0.9990544400727662,8.91558570498881,20250930,9.02,20250929,0.9884241358080722,9.13,1.2195121951219745
W,0.9880478745942024,85.76578340026349,20250930,86.82,20250929,0.9878574452921388,89.345,2.908316056208249
CG,0.9999368617510452,64.00225357534008,20250930,64.89,20250929,0.9863192105923884,62.7,-3.374942209893661
FSLR,1.0016952542187263,220.39901596800053,20250930,223.53,20250929,0.9859930030331524,223.53,0.0
BRZE,0.9995773927806082,31.620535666100537,20250930,32.22,20250929,0.9813946513376952,32.22,0.0
BWMX,0.999518458015782,12.838754861033951,20250930,13.09,20250929,0.9808063301019062,13.48,2.9793735676088673
CBZ,0.9992057377437578,52.71705968952874,20250930,53.83,20250929,0.9793249059916168,53.81,-0.037154003343853326
SHOP,1.0382842432594708,145.70933596292122,20250930,149.0,20250929,0.9779150064625584,149.0,0.0
STZ,0.999649310336798,132.63108089554134,20250930,136.46,20250929,0.9719410881983096,134.65,-1.3263960134838104
CVNA,1.0321977307110364,381.3783503436453,20250930,392.63,20250929,0.9713428682058052,377.47,-3.8611415327407417
BABA,1.011406998268732,173.90297138140662,20250930,179.86,20250929,0.966879636280477,179.9,0.022239519626365833
RARE,0.998051168273897,29.253197846065937,20250930,30.36,20250929,0.963544066075953,30.36,0.0
ASML,0.9749587217308509,927.3181989174776,20250930,962.61,20250929,0.9633373836937882,962.61,0.0
HBM,0.9987788324318656,14.142429723337726,20250930,15.21,20250929,0.9298112901602712,15.21,0.0
