symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,pct_above_sma200,bb_percent_b,f10_over_ma20_x
MSFT,1.0961577751037372,1.097796,495.25954254694363,451.140000,,,
MTDR,1.0882458777678004,1.089738,47.02219389374772,43.150000,,,
MU,0.9694893940479838,0.969031,385.2672056792749,397.580000,,,
NESR,1.0027077462685783,1.003113,20.16257519721909,20.100000,,,
NRDS,1.0589152650311617,1.059884,13.937476468627482,13.150000,,,
NVDA,1.0948084502559685,1.096421,202.66252206314186,184.840000,,,
NX,1.0122106437547242,1.014059,19.46993222329804,19.200000,,,
PACS,0.9965655035281357,0.996512,35.01744571514738,35.140000,,,
PAR,1.190647488004533,1.194180,40.45881831240774,33.880000,,,
PEP,1.0228771014756468,1.023240,147.75590137458136,144.400000,,,
PFE,1.0251752395088183,1.025576,26.76752972175045,26.100000,,,
PFGC,1.0693365448577905,1.070488,100.86139922382185,94.220000,,,
PG,1.0263461001739753,1.026766,153.94300094442946,149.930000,,,
PMTS,1.2405260251164631,1.245173,18.129719488579546,14.560000,,,
PRCT,1.1666812009658343,1.169706,35.945075951175376,30.730000,,,
PRU,1.024989768611621,1.025387,111.53138271614735,108.770000,,,
