symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2,pct_above_sma200,bb_percent_b,f10_over_ma20_x,f1_over_prev_a1_x,rule2_ok,spy_trend_value,spy_trend_bin,persist_2of3_ok,rule_4a,stop_loss_pct
LUV,0.9970092074467873,0.9404838766817812,49.4694519134617,52.6,,,0.45724837219133296,0.8863507547282383,1.1126857457565131,0.9434095499600677,False,,,True,True,-0.25920912587214817
AMGN,0.9990722086803849,0.9402308140003257,344.31252408691927,366.2,,,0.15194028144800642,0.6353782798202658,1.0155153902260399,0.9411362864811446,False,,,False,False,-0.1317394305202355
SLB,1.0045953428944905,0.9401022057624253,48.27424826590054,51.35,0.25,True,0.3276304628332545,0.5510793485401043,1.014186185968204,0.9399389172150665,False,,,False,False,-0.17325663806540814
PPG,1.0151874168672363,0.9389169802713767,118.2565936651799,125.95,,,0.09302131325863194,0.7212441953721395,1.0559472963468484,0.9383836223221318,False,,,True,True,-0.18450305709169246
TGT,0.9784488001498086,0.9386986121128092,107.13367260043492,114.13,,,0.14692060247625105,0.6747706208374085,0.9986499867208707,0.9394836912134898,False,,,False,False,-0.11823054705326985
STZ,1.0025829629389518,0.936658620904715,156.1222589323979,166.68,0.17,False,0.009650903114117204,0.48966506097855655,1.0013190316643508,0.9341561643973737,False,,,False,False,-0.15886581282080603
DE,0.9980750740491546,0.9358542552195843,531.2095923477405,567.62,,,0.09433620105274221,0.6937781502042525,1.0280613735900996,0.9359227903002894,False,,,True,False,-0.16927531061178613
MAS,1.0031658670907038,0.9356158173735128,66.81232551864255,71.41,,,0.006443536658008675,0.24566566353298303,0.9756472768493363,0.932553819844654,False,,,False,False,-0.10554618697350504
PEP,1.0003559631000223,0.9343091552575976,155.26349542070759,166.18,0.11,False,0.1088272508585908,0.7670605299465801,1.0515573576928539,0.9339643861311516,False,,,True,True,-0.1826524395419875
XOM,0.9919099959032575,0.9300299033989006,137.26311344264374,147.59,0.06,False,0.22615139957563102,0.6855178584845733,1.032301857910503,0.9303179264712551,False,,,True,True,-0.20216553698232065
LII,1.0034997952136584,0.9298489231041994,497.2832040761258,534.8,,,-0.08506043285846532,0.18211140950227936,0.9694555699786642,0.9264859368973701,False,,,False,False,-0.09201230055993914
ARCO,1.0041434632570263,0.929210198523384,8.279262868843352,8.91,0.34,True,0.13739889020787888,0.7598472367829862,1.048937396280673,0.925233990994852,False,,,True,True,-0.1701661671867225
MHK,1.0031736193192766,0.9288544070370034,121.15048030983635,130.43,,,0.044737365956673436,0.5127890092706351,1.0055567293584577,0.9258071174804786,False,,,False,False,-0.15602014228517191
CAG,1.0006243554395429,0.9287144594800334,18.39318987000206,19.805,,,-0.014175914354521368,0.7584282261480576,1.0605602217623384,0.9281135204848278,False,,,True,True,-0.2113538368961746
DVN,1.0027715862783104,0.9282598216898048,40.267911064903736,43.38,0.04,False,0.18150563967315803,0.7306171249885041,1.055958227956777,0.9255991990335484,False,,,True,True,-0.21359232795866412
MPC,1.0259988551054289,0.926489657902205,181.58270805225317,195.99,,,0.02011337668425961,0.4875618471687739,1.0248401105773073,0.9255981979975635,False,,,True,False,-0.1300949496221847
FAST,0.9984524666784155,0.9264622302124924,44.72959647465913,48.28,,,0.03807030145746926,0.7030101302460195,1.030702360397886,0.9265167550305319,False,,,True,True,-0.16468509253528774
JBHT,0.9982898543693185,0.9260465215381742,211.34233714544212,228.22,,,0.3372039041730539,0.6587762174886794,1.016924514112557,0.9261067585103466,False,,,False,False,-0.12011576740758623
URI,1.007051396518865,0.925918764147952,785.2994814368026,848.13,,,-0.06385130644767034,0.014632402342704525,0.8809840388840366,0.919195444876344,False,,,False,False,-0.06395377924742773
MATV,1.0121002798597263,0.9244346140804978,12.724842462818053,13.765,0.16,False,0.28543920026220926,0.3779854620976121,0.9971274899359834,0.912973273511598,False,,,False,False,-0.14118060971320634
ASIX,1.0187700878074923,0.9232364483526249,16.775206266567196,18.17,-0.09,False,-0.1679756777299214,0.25449066414559246,0.9724193534616656,0.9055967802382291,False,,,False,False,-0.14563871683509222
PSX,1.0017277276995076,0.9213427410367472,142.52250861097443,154.69,,,0.1200149923266689,0.518262483174994,1.003958908365175,0.9196948284594777,False,,,False,False,-0.1183380300947734
VLO,1.0023539158959445,0.9153929306970949,180.7077184489135,197.41,,,0.17654201623343346,0.19610518481766306,0.9748750759254093,0.9131636500108027,False,,,False,False,-0.10015949830960003
