symbol,signals,fulfilled_rate,avg_ret10d,std_ret10d,sharpe_proxy,avg_fulfill_ratio,avg_pred_edge,avg_sent7d,score
AHCO,16,0.25,0.027905354143793817,0.060725291195125035,0.4595342993766332,1.005921038428671,0.0172185104041224,-0.14875,0.5113771685234403
LNTH,14,0.21428571428571427,0.031181470314885107,0.020939589679152104,1.4891156318086802,1.0394299857921119,0.0011784227207988773,-0.09357142857142857,0.5022430035540912
QCOM,17,0.23529411764705882,-0.016603495893147517,0.014532056046117238,-1.142542792324541,0.9901688673174568,-0.000120849066939981,0.21705882352941178,0.4997977738595065
DHR,16,0.1875,0.01103557041962268,0.017300782721914685,0.6378653843010271,0.9998447453285001,0.014172495627064616,0.21375,0.498392756194415
DIS,11,0.18181818181818182,0.009541501051491375,0.013746551793806037,0.6941014150028965,1.0140014218121034,0.002860177140050107,0.2009090909090909,0.49195510520163954
ZM,18,0.2222222222222222,-0.005779370756655189,0.03796836069611827,-0.1522154407168295,0.9947249301469184,0.006093214676611379,0.07000000000000002,0.48794171991595336
W,6,0.16666666666666666,0.0373492257427368,0.09684045284623449,0.38567793360116526,0.9266724081860509,0.10693991262056175,0.1025,0.486561623292096
STZ,17,0.23529411764705882,-0.019406191108591098,0.0299501867857348,-0.6479489175618169,0.9845116423859727,0.001585873086127885,0.09294117647058825,0.48650713090835057
CAL,17,0.23529411764705882,-0.021947076329732723,0.07308400163884761,-0.30029932457976977,1.010162430955355,-0.0025337850023005952,0.014000000000000002,0.47776305936619007
BIIB,18,0.16666666666666666,-0.000601656764602207,0.03322818100648274,-0.018106822172565665,0.9870105002304234,0.003935590284860235,0.1788888888888889,0.4648704569400882
HTO,13,0.15384615384615385,-0.001473610770613476,0.011043512566525311,-0.13343678125384045,0.9976905089433711,0.005711841501968018,0.25846153846153846,0.46352638790129186
IMVT,9,0.1111111111111111,0.05222735814694118,0.08844572843378089,0.590501758217116,1.0209075127241614,0.02039341240803188,0.10375,0.4579872417320182
CVNA,17,0.17647058823529413,-0.04270057073166283,0.0683614940731626,-0.6246289861067599,1.0266721820755003,-0.020755088684764743,0.32375000000000004,0.4541825895563485
GDYN,6,0.16666666666666666,0.11764705882352944,0.0,,1.1046329276300493,0.01424971229565201,0.314,0.45037594864153674
WMT,18,0.16666666666666666,-0.01664112563998707,0.03569753356571591,-0.46617017977873104,0.9955152344577352,-0.0017209195752460728,0.13611111111111113,0.44429306562734394
SPB,18,0.1111111111111111,0.008253034030913806,0.03682189853396924,0.22413385402439662,0.9846271773245503,0.012759952912098601,0.2613333333333333,0.44212173091193163
CVS,13,0.07692307692307693,0.021256359457420184,0.013224879693046821,1.6073007808604893,0.9840117534858076,0.021135384553749713,0.2653846153846154,0.43782034044419993
LKQ,12,0.0,0.009990455268382936,0.0009731715776372396,10.265872429853257,0.9819331457903737,0.01373248738575288,0.19833333333333333,0.43351204313357766
GOOGL,18,0.1111111111111111,0.0010186573231128065,0.026778514158024826,0.03804009875609702,0.9937539532227118,0.0047182735019402995,0.24444444444444446,0.43326312367236486
DVN,8,0.125,-0.01676278649348269,0.030243385212532985,-0.5542629032988053,0.972504055500116,0.0071539352385111415,0.25625000000000003,0.42725462873290054
BRZE,14,0.07142857142857142,-0.0032784244689414155,0.05843305815866929,-0.05610564588351978,0.9778210022382704,0.0019527531920015947,0.438,0.4235784281307911
HAL,14,0.07142857142857142,0.020066246259049153,0.05035246576014615,0.39851566266157984,0.9896071980952794,0.009537739086914212,0.22642857142857142,0.4184227372155572
MRVL,18,0.1111111111111111,-0.023761940283827054,0.06067247081386996,-0.39164286479651633,0.9824043264336362,-0.0007734988393279981,0.294,0.41773112464307066
CON,11,0.09090909090909091,0.0022774676986564296,0.022325906238583056,0.10201008972798464,0.9685442831040347,0.02837281304434115,0.21777777777777776,0.41642568679718067
CVE,18,0.1111111111111111,-0.026340999757706623,0.051744875095649415,-0.5090552389780783,0.9695746291182332,0.0009973256074822306,0.26222222222222225,0.411010967151772
SLB,14,0.07142857142857142,0.0006377797987378864,0.04980464870485595,0.01280562789464476,0.9784425517226809,0.005520133612472159,0.28071428571428575,0.40774396374296845
KNF,10,0.1,-0.026377616189274478,0.038794400777934654,-0.6799335899080944,0.9628488069874005,0.014389110965200513,0.29875,0.40583449031462165
COP,14,0.07142857142857142,0.005884865829320074,0.04492501975172506,0.130993060478156,0.976801360616322,0.006538312044808037,0.21285714285714286,0.4042275969864989
PFE,8,0.125,-0.025272179431465647,0.02457130571020648,-1.0285240731414627,0.9632543554660572,0.009689667067470834,0.11875,0.40038932218336654
AVGO,13,0.15384615384615385,-0.06557603440798948,0.08281713545379993,-0.7918172253684322,0.9116085908549055,0.015029137136147917,0.13615384615384618,0.3963072958190859
TXG,18,0.1111111111111111,-0.029326442317713697,0.07312256763605805,-0.40105870548304295,0.9398782855489578,0.01439360334141306,0.07,0.3861544594967151
NX,14,0.14285714285714285,-0.031198891315782185,0.032801375749604726,-0.951145816381136,0.9781866602386919,0.017009756455365423,-0.1053846153846154,0.3824907067178423
IMXI,18,0.05555555555555555,0.0017818450957550053,0.00689868343737997,0.2582877025636832,0.9936694637688732,0.00962891105676352,0.06750000000000002,0.37265268401294727
IBM,18,0.05555555555555555,-0.015797580582656623,0.014999894363398944,-1.0531794557969756,0.9843491222333588,-0.005197520854608308,0.23000000000000004,0.3691678606438366
CLS,18,0.05555555555555555,-0.04357906872514,0.0828852916697266,-0.5257756575049494,0.9190163193938392,0.019660280802245363,0.33588235294117647,0.3659927030073179
MD,18,0.05555555555555555,-0.021336777517288505,0.031744504010488714,-0.6721408376781887,0.9385896614444871,0.025727604969579456,0.16749999999999998,0.3605066059404435
PEP,18,0.05555555555555555,-0.020363242875150983,0.02727519923522714,-0.746584569356727,0.9632506475483635,0.015504394225069058,0.16333333333333327,0.3601141150829021
AMZN,4,0.0,0.006238614173303764,0.017828686467520366,0.3499200114752726,0.9816777207835781,0.024976663213788663,0.2575,0.3586432615502206
AII,4,0.0,0.03326590781074429,0.04688893803973522,0.7094617451679898,0.9754902472580254,0.05893699821954207,0.07,0.3583722991907701
XPO,18,0.05555555555555555,-0.024224198691502885,0.04227721332565743,-0.5729847543381381,0.9699224531023631,0.010482532507063318,0.16,0.3582660279483008
CVX,4,0.0,0.008125030147943746,0.008219530178057882,0.9885029888488754,0.9429333149319531,0.059432725803217124,0.19499999999999998,0.3574849725976129
AHL,18,0.0,0.0007103624784498275,0.001650696018359935,0.4303411836878452,0.9758564281605666,0.025213163100171868,0.261,0.35566415275388263
CWT,4,0.0,-0.014961715947769405,0.02780943915101762,-0.5380085469009509,0.9478326191214181,0.03926137476389385,0.3975,0.3531401630291982
BILL,10,0.0,0.011409627059564165,0.009188093618906686,1.2417839361242626,0.9819896741007278,0.02003818477530168,0.10222222222222223,0.3505607276675044
DAR,7,0.0,-0.008158306449210728,0.02929864967159025,-0.2784533260289302,0.9682205032430747,0.024091118796984907,0.31000000000000005,0.34949095664063246
KO,6,0.0,-0.006411222421775146,0.01339265943152132,-0.47871167444798324,0.9428620981000568,0.05388994903874992,0.21,0.33692586270286906
HQY,4,0.0,-0.021999189268757935,0.03804259801981752,-0.578277783691269,0.8894885031696147,0.10057112244838001,0.2966666666666667,0.33531596189492324
UHS,17,0.0,-0.01478297090994117,0.03301171796021526,-0.4478098028026644,0.9480555031110948,0.03252135604629022,0.22882352941176468,0.3333426326100533
MATV,11,0.0,-0.006360856505524299,0.04232713219723189,-0.150278466206607,0.9694226310275598,0.02252165431184611,0.14333333333333334,0.33142965481717357
SBUX,15,0.0,-0.006134145920593724,0.028158151394674227,-0.21784618722356625,0.9663379563004629,0.025801133628254595,0.11733333333333332,0.32787192965013934
