date,symbol,f10_T,a1_prev,sent7d,outcome_date,a1_outcome
20251211,SLP,19.704291995365157,19.8,0.21,20251225,
20251211,ZBH,92.61140291423945,93.09,0.13,20251225,
20251211,PRCT,35.52452738845415,35.71,0.02,20251225,
20251211,QUAD,6.240488643037413,6.28,,20251225,
20251211,CHMI,2.492116275932128,2.51,,20251225,
20251211,GOOGL,317.3824744051682,320.21,0.27,20251225,
20251211,IBM,309.76253242012035,312.67,0.29,20251225,
20251211,FANG,158.78348232567734,160.28,0.24,20251225,
20251211,ERIE,272.4185235154997,275.0,0.0,20251225,
20251211,BIIB,175.8479752702338,177.55,0.24,20251225,
20251211,DXCM,66.90145878636847,67.56,0.03,20251225,
20251211,PMTS,17.984838891446167,18.2,0.38,20251225,
20251211,PFE,25.445027936064506,25.78,0.2,20251225,
20251211,CVE,17.575294955635623,17.86,0.3,20251225,
20251211,CLS,343.016786320852,348.66,0.38,20251225,
20251211,MTDR,44.98354772146474,45.75,0.37,20251225,
20251211,FSLR,257.6494265964032,262.23,0.24,20251225,
20251211,PEP,147.06761785527212,149.7,0.19,20251225,
20251211,SPNT,21.423187489087475,21.83,0.46,20251225,
20251211,DVN,37.64232551864256,38.41,0.22,20251225,
20251211,BILL,54.46870644910398,55.59,0.22,20251225,
20251211,MATV,12.302818923509152,12.58,0.13,20251225,
20251211,FLOC,18.12299963492643,18.55,,20251225,
20251211,TWLO,131.83772436151807,134.97,,20251225,
20251211,AVGO,403.077513214076,412.97,0.26,20251225,
20251211,ASIX,16.319623101220614,16.73,0.0,20251225,
20251211,DDL,2.0473002015841013,2.1,0.21,20251225,
20251211,PRU,111.82570205234839,114.76,0.21,20251225,
20251211,SNDX,20.08667338613673,20.62,0.39,20251225,
20251211,KRO,4.733802161870446,4.86,0.0,20251225,
20251211,AMTM,28.829570800463486,29.6,0.47,20251225,
20251211,CVNA,455.2054868970334,467.67,,20251225,
20251211,DHR,224.1799773813114,230.42,0.28,20251225,
20251211,SHOP,163.85867279884445,168.42,,20251225,
20251211,COP,94.03366660846655,96.8,0.22,20251225,
