theta_ma20,bb_floor,regime_on,sent_required,persistence,n_trades,coverage_daily,win_rate,avg_ret_10d,sharpe_like,max_dd_like
1.04,0.75,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.04,0.75,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.5,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.5,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.5,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.5,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.5,0,0,1of1,76,38.000,0.618,0.0198,0.203,0.298
1.05,0.5,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.5,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.5,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.6,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.6,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.6,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.6,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.6,0,0,1of1,73,36.500,0.603,0.0192,0.193,0.298
1.05,0.6,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.6,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.6,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.65,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.65,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.65,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.65,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.65,0,0,1of1,71,35.500,0.592,0.0191,0.189,0.298
1.05,0.65,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.65,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.65,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.7,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.7,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.7,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.7,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.7,0,0,1of1,68,34.000,0.574,0.0176,0.172,0.298
1.05,0.7,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.7,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.7,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.75,1,0,1of1,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.75,1,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.75,1,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.75,1,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.75,0,0,1of1,62,31.000,0.581,0.0191,0.184,0.298
1.05,0.75,0,0,2of3,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.75,0,0,3of4,0,0.000,0.000,0.0000,0.000,0.000
1.05,0.75,0,0,3of5,0,0.000,0.000,0.0000,0.000,0.000
